Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.5757575757575235,0.21662629052877636,0.03955036862375951,0.49486798949093536,0.6566471620241117
Specificity,0.679365079365047,0.21693611183461914,0.03960693399642811,0.5983598039215587,0.7603703548085352
PPV,0.5332867504881367,0.16532006439360025,0.030183176158860493,0.4715552239143221,0.5950182770619512
NPV,0.7655987266498242,0.08723709291574494,0.01592724121370921,0.7330238608021484,0.7981735924975
Accuracy,0.64375,0.1096747739203631,0.020023782555154055,0.6027967663705792,0.6847032336294209
Balanced_Accuracy,0.6275613275613275,0.09067052864030485,0.016554097945737728,0.5937043957439366,0.6614182593787185
F1,0.5168305922422114,0.12415031412442357,0.022666642522433007,0.4704721030677058,0.563189081416717
AUC,0.6741702741702742,0.12778812454935512,0.023330812798987164,0.6264534042587366,0.7218871440818118
