Experiment,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std,Sensitivity,Specificity,Mean_Selected_Features,Stable_VOC_Count
Baseline_lambda_001,0.64375,0.1096747739203631,0.5168305922422114,0.1241503141244235,0.6741702741702742,0.1277881245493551,0.5757575757575235,0.679365079365047,437.1333333333333,602
Candidate_lambda_010,0.6489583333333333,0.0976844427695393,0.4891261639777591,0.1585770036206635,0.6821067821067819,0.1311164920126243,0.5333333333332849,0.7095238095237757,427.06666666666666,564
