Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.3359999999999664,0.11416804909579925,0.011416804909579924,0.31334658216631034,0.3586534178336224
Specificity,0.6638095238094922,0.13277213028650953,0.013277213028650953,0.637464652649251,0.6901543949697334
PPV,0.3400910470248224,0.12542934012329401,0.012542934012329402,0.3152031447359036,0.3649789493137412
NPV,0.6747840148588474,0.04454672453694769,0.004454672453694769,0.6659449782628075,0.6836230514548873
Accuracy,0.5580645161290144,0.07921508169438914,0.007921508169438913,0.5423465253376992,0.5737825069203296
F1,0.3241995842665515,0.08747428958176252,0.008747428958176252,0.3068427874456202,0.34155638108748276
AUC,0.5316666666666666,0.0675824376366352,0.00675824376366352,0.5182568448283776,0.5450764885049556
