VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
0,"1_2-Butenal, (Z)-                                                                                                              ",0.53,0.5101365,0.18058875,0.01805887520313263
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.49,0.47774097,0.15636563,0.015636563301086426
2,6_Cyclopropyl methyl carbinol                                                                                                  ,0.5,0.4980067,0.16965644,0.0169656440615654
3,10_Benzene                                                                                                                     ,0.41,0.4544588,0.17342365,0.01734236478805542
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",0.45,0.47412232,0.16800971,0.01680097132921219
5,13_3-Methoxypropionic acid                                                                                                     ,0.5,0.49366534,0.14693418,0.014693418145179748
6,14_Thiirane                                                                                                                    ,0.53,0.524954,0.1688405,0.016884049773216246
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.54,0.50323737,0.14733768,0.01473376750946045
8,"18_Diborane(6), .mu.-mercapto-                                                                                                 ",0.45,0.48424545,0.172946,0.01729460060596466
9,"19_Cyclohexane, (1,1-dimethylethyl)-                                                                                           ",0.43,0.48273572,0.16795658,0.016795657575130463
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,0.49,0.50301176,0.16507997,0.01650799661874771
11,"26_2-Propanol, 1-methoxy-                                                                                                      ",0.47,0.4731176,0.16586292,0.016586291790008544
12,"28_Nonane, 5-methylene-                                                                                                        ",0.42,0.47503686,0.15888827,0.015888826549053194
13,"29_Disiloxane, hexamethyl-                                                                                                     ",0.48,0.5111098,0.16583733,0.01658373326063156
14,"34_Butanal, 2-methyl-                                                                                                          ",0.61,0.5331451,0.16201536,0.0162015363574028
15,36_1-Penten-3-one                                                                                                              ,0.53,0.51992446,0.17515954,0.01751595437526703
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.56,0.536742,0.18422022,0.018422022461891174
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.45,0.47277805,0.168453,0.016845299303531645
18,42_Triethylamine                                                                                                               ,0.61,0.5516963,0.16499281,0.01649928092956543
19,"45_Pentane, 2,2,4-trimethyl-                                                                                                   ",0.46,0.49972057,0.16071352,0.01607135236263275
20,"54_Heptanal, 2-methyl-                                                                                                         ",0.46,0.48746857,0.16134353,0.01613435298204422
21,58_cis-1-Ethoxy-1-butene                                                                                                       ,0.52,0.49099186,0.16178127,0.016178126633167266
22,"61_2-Butanol, 3,3-dimethyl-4-dimethylamino-2-phenyl-                                                                           ",0.5,0.4915421,0.16066286,0.016066285967826843
23,70_Trimethylene oxide                                                                                                          ,0.44,0.46463436,0.16431636,0.016431635618209837
24,"74_1,4-Dioxane                                                                                                                 ",0.46,0.4884227,0.15070756,0.015070755779743195
25,"76_Ethane, methoxy-                                                                                                            ",0.6,0.53747034,0.17680211,0.01768021136522293
26,"80_Propionic acid, 2-mercapto-, allyl ester                                                                                    ",0.53,0.5138758,0.16016442,0.016016441583633422
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",0.57,0.50458044,0.14608283,0.01460828334093094
28,"83_Ethanamine, N-ethyl-                                                                                                        ",0.47,0.4805747,0.16630307,0.016630306839942932
29,"86_Silanediol, dimethyl-                                                                                                       ",0.5,0.49881443,0.17930277,0.017930276691913605
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.6,0.5280164,0.18564785,0.018564784526824953
31,"94_Cyclopentanemethanol, 3-methylene-                                                                                          ",0.42,0.47023544,0.17362578,0.017362578213214873
32,"100_Formic acid, butyl ester                                                                                                   ",0.5,0.49347493,0.18290722,0.018290722370147706
33,"101_1,3-Propanediol                                                                                                            ",0.65,0.5640759,0.16384181,0.016384181380271912
34,"104_Ethane, 1,1-diethoxy-                                                                                                      ",0.47,0.48682368,0.15576124,0.01557612419128418
35,"107_Formic acid, 5-methylhex-2-yl ester                                                                                        ",0.41,0.4704208,0.15770367,0.01577036678791046
36,110_2-Heptene                                                                                                                  ,0.38,0.45289898,0.15582952,0.0155829519033432
37,"117_Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-                                                                               ",0.41,0.48738796,0.15991995,0.015991994738578798
38,"119_2-Pentanol, 2-methyl-                                                                                                      ",0.45,0.47560138,0.17356491,0.017356491088867186
39,"120_Oxirane, 2-(1,1-dimethylethyl)-3-methyl-                                                                                   ",0.47,0.48471013,0.18017404,0.018017403781414032
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.77,0.6256107,0.19141467,0.019141466915607454
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.57,0.51877093,0.16987883,0.016987882554531097
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.62,0.5430472,0.16387019,0.01638701856136322
43,132_Pyridine                                                                                                                   ,0.6,0.54411596,0.15924962,0.015924961864948274
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.67,0.5603919,0.16283424,0.016283424198627473
45,"135_Disulfide, dimethyl                                                                                                        ",0.49,0.50225383,0.18084118,0.01808411777019501
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.73,0.5884398,0.15551473,0.015551473200321197
47,"147_Methanamine, N,N-difluoro-                                                                                                 ",0.58,0.5193223,0.17291687,0.017291687428951263
48,148_Propanoic acid                                                                                                             ,0.46,0.48803782,0.18516862,0.01851686239242554
49,155_Tetraethylammonium chloride                                                                                                ,0.52,0.4926575,0.18150212,0.01815021187067032
50,"160_Butanoic acid, 2-amino-4-(methylsulfinyl)-, (.+/-.)-                                                                       ",0.54,0.5181242,0.14200313,0.0142003133893013
51,"162_3-Hexene, 2,2-dimethyl-, (Z)-                                                                                              ",0.53,0.50924444,0.19207694,0.01920769363641739
52,172_Toluene                                                                                                                    ,0.43,0.46447277,0.17353629,0.01735362857580185
53,174_1-Methyl-1-ethoxycyclobutane                                                                                               ,0.56,0.51899636,0.15898721,0.01589872092008591
54,"176_Boron, trihydro(pyridine)-, (T-4)-                                                                                         ",0.48,0.48697168,0.17176439,0.017176438868045808
55,"180_1-Penten-3-one, 2-methyl-                                                                                                  ",0.51,0.4846944,0.17007464,0.017007464170455934
56,"182_2,2,4,4-Tetramethyloctane                                                                                                  ",0.43,0.47440475,0.183627,0.018362699449062346
57,"186_Butane, 2-cyclopropyl-                                                                                                     ",0.46,0.4905687,0.16170801,0.016170801222324373
58,"194_D-Erythro-Tetrofuranose-3-ulose, 4-C-cyclopropyl-1,2-O-isopropylidene-, .alpha.-                                           ",0.44,0.49206492,0.15203331,0.015203331410884858
59,"203_1,3-Dioxolane, 2-ethyl-4-methyl-                                                                                           ",0.44,0.47304904,0.1631216,0.016312159597873688
60,214_Cyclopentanone                                                                                                             ,0.48,0.50810385,0.1793183,0.017931829392910003
61,"216_Propane, 1,3-dimethoxy-                                                                                                    ",0.51,0.51050997,0.18597792,0.018597792088985442
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",0.49,0.50940645,0.16356945,0.016356945037841797
63,223_4-Ethylbenzamide                                                                                                           ,0.44,0.47374108,0.17392285,0.01739228516817093
