VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.77,0.6256107,0.19141467
259,875_4-n-Propylbenzoic acid                                                                                                     ,0.73,0.62755376,0.18609883
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.73,0.5884398,0.15551473
132,465_3-Ethyl-4-methylpentan-1-ol                                                                                                ,0.69,0.5623,0.15565363
181,"614_Butanedioic acid, dimethyl ester                                                                                           ",0.68,0.55941814,0.1555141
229,"752_Hexanoic acid, 2-ethyl-                                                                                                    ",0.67,0.56102467,0.18037018
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.67,0.5603919,0.16283424
33,"101_1,3-Propanediol                                                                                                            ",0.65,0.5640759,0.16384181
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.64,0.5614847,0.18008758
231,"771_1H-Indene, 2,3-dihydro-5-methyl-                                                                                           ",0.64,0.5269535,0.1627767
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.62,0.5430472,0.16387019
18,42_Triethylamine                                                                                                               ,0.61,0.5516963,0.16499281
14,"34_Butanal, 2-methyl-                                                                                                          ",0.61,0.5331451,0.16201536
399,"1376_Cyclooctasiloxane, hexadecamethyl-                                                                                        ",0.61,0.52643424,0.14103685
43,132_Pyridine                                                                                                                   ,0.6,0.54411596,0.15924962
255,"846_Ethanol, 1-(2-butoxyethoxy)-                                                                                               ",0.6,0.5435623,0.16782267
370,1258_Butylated Hydroxytoluene                                                                                                  ,0.6,0.5424549,0.16400169
373,1277_Octadecyl octyl ether                                                                                                     ,0.6,0.5409037,0.17234923
25,"76_Ethane, methoxy-                                                                                                            ",0.6,0.53747034,0.17680211
204,675_Cyclooctyl alcohol                                                                                                         ,0.6,0.53422177,0.1547674
82,"268_Cyclotrisiloxane, hexamethyl-                                                                                              ",0.6,0.5334686,0.16886401
119,"392_1-Butyl(dimethyl)silyloxy-2,2-dimethylpropane                                                                              ",0.6,0.5310753,0.1634892
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.6,0.5280164,0.18564785
161,544_2-Octanone                                                                                                                 ,0.6,0.5164717,0.15980679
414,"1472_Benzenecarbothioic acid, S-ethyl ester                                                                                    ",0.59,0.54493445,0.1543965
120,"395_Ethanol, 2-butoxy-                                                                                                         ",0.59,0.5319619,0.16723031
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.59,0.5301098,0.1798326
423,1516_Tetradecanoic acid                                                                                                        ,0.58,0.5422258,0.16679204
113,"378_2,2,3-Triethyloxirane                                                                                                      ",0.58,0.53275627,0.16827294
80,"262_1,5-Dimethyl-6-oxa-bicyclo[3.1.0]hexane                                                                                    ",0.58,0.53188777,0.18093629
194,"645_Nonane, 5-methyl-5-propyl-                                                                                                 ",0.58,0.5294458,0.16431208
47,"147_Methanamine, N,N-difluoro-                                                                                                 ",0.58,0.5193223,0.17291687
363,"1241_Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-                                                                          ",0.58,0.5157005,0.1513787
232,"777_Cyclopentasiloxane, decamethyl-                                                                                            ",0.57,0.5318385,0.1597105
254,845_3-Decanone                                                                                                                 ,0.57,0.5270614,0.16934435
339,"1179_Naphthalene, 1,3-dimethyl-                                                                                                ",0.57,0.5236257,0.16618313
251,832_trans-2-Dodecen-1-ol                                                                                                       ,0.57,0.5225665,0.1456286
142,"492_Pentadecane, 6-methyl-                                                                                                     ",0.57,0.5222276,0.15820915
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.57,0.51877093,0.16987883
223,720_Linalool                                                                                                                   ,0.57,0.5158281,0.16653289
230,"755_Undecane, 3,8-dimethyl-                                                                                                    ",0.57,0.5156433,0.15793057
84,"273_1-Butyne, 3-chloro-                                                                                                        ",0.57,0.5116891,0.16595429
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.57,0.50679785,0.18981951
307,"1083_2,7-Imino-3,6-methanonaphthalene, decahydro-                                                                              ",0.57,0.5066141,0.17883958
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",0.57,0.50458044,0.14608283
272,"949_Heptadecane, 2,6,10,15-tetramethyl-                                                                                        ",0.57,0.49902892,0.16142018
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.56,0.536742,0.18422022
53,174_1-Methyl-1-ethoxycyclobutane                                                                                               ,0.56,0.51899636,0.15898721
