VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
360,"1235_Cycloheptasiloxane, tetradecamethyl-                                                                                      ",1.0,0.63792014,0.0
281,"990_3,4-Dimethylcumene                                                                                                         ",1.0,0.635918,0.0
217,706_2-Butoxyethyl acetate                                                                                                      ,1.0,0.632508,0.0
347,"1197_Quinoline, 2,7-dimethyl-                                                                                                  ",1.0,0.6311651,0.0
153,523_Benzonitrile                                                                                                               ,1.0,0.63005376,0.0
72,236_Hexanal                                                                                                                    ,1.0,0.6293386,0.0
141,"488_Tridecane, 6-methyl-                                                                                                       ",1.0,0.6279551,0.0
357,"1221_1,2-Bis(trimethylsilyl)-4-methylbenzene                                                                                   ",1.0,0.62556887,0.0
2,6_Cyclopropyl methyl carbinol                                                                                                  ,1.0,0.6250092,0.0
421,"1507_1,3-Cyclopentadiene, 5,5-dimethyl-1,2-Dipropyl-                                                                           ",1.0,0.6241103,0.0
425,"1556_Kaur-16-ene, (8.beta.,13.beta.)-                                                                                          ",1.0,0.6229987,0.0
94,"325_2,6-Octadiene-4,5-diol                                                                                                     ",1.0,0.62263656,0.0
283,"1011_Naphthalene, 1,2,3,4-tetrahydro-1,8-dimethyl-                                                                             ",1.0,0.62167436,0.0
135,"473_Benzoic acid, 2-formyl-4,6-dimethoxy-, 8,8-dimethoxyoct-2-yl ester                                                         ",1.0,0.6207188,0.0
110,363_Cyclohexylmethylsilane                                                                                                     ,1.0,0.6170419,0.0
309,"1090_Phenol, 2-(1,1-dimethylethyl)-6-methyl-                                                                                   ",1.0,0.6159101,0.0
377,"1286_1-Dodecanol, 2-hexyl-                                                                                                     ",1.0,0.613814,0.0
279,"983_Benzaldehyde, 4-propyl-                                                                                                    ",1.0,0.6111725,0.0
194,"645_Nonane, 5-methyl-5-propyl-                                                                                                 ",1.0,0.610676,0.0
290,"1032_Carbonic acid, tetradecyl vinyl ester                                                                                     ",1.0,0.61002964,0.0
134,"471_Hexanal, 2-ethyl-                                                                                                          ",1.0,0.6094473,0.0
198,"654_Pentanal, 5-[(tetrahydro-2H-pyran-2-yl)oxy]-                                                                               ",1.0,0.6087148,0.0
