Repeat,Sensitivity,Specificity,PPV,NPV,Accuracy,F1,AUC
0,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.45238095238095244
1,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.4571428571428572
2,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.43333333333333335
3,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.4571428571428572
4,0.59999999999994,0.47619047619045357,0.3529411764705675,0.7142857142856632,0.5161290322580478,0.44444444444394515,0.5857142857142857
5,0.09999999999999,0.9523809523809071,0.49999999999975,0.6896551724137694,0.6774193548386879,0.16666666666636112,0.4714285714285715
6,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.4523809523809524
7,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.4714285714285714
8,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.4904761904761905
9,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.4761904761904762
10,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.4904761904761905
11,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.3666666666666667
12,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5380952380952381
13,0.19999999999998,0.7142857142856803,0.24999999999996875,0.65217391304345,0.5483870967741759,0.22222222222170368,0.45238095238095244
14,0.39999999999996,0.666666666666635,0.36363636363633056,0.6999999999999651,0.5806451612903039,0.3809523809518458,0.4571428571428572
15,0.49999999999995,0.5714285714285443,0.3571428571428316,0.705882352941135,0.5483870967741759,0.4166666666661458,0.4714285714285714
16,0.39999999999996,0.7619047619047257,0.44444444444439507,0.7272727272726943,0.6451612903225599,0.42105263157840445,0.48571428571428577
17,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.4761904761904761
18,0.0,0.809523809523771,0.0,0.6296296296296063,0.5483870967741759,0.0,0.46190476190476193
19,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.44761904761904764
20,0.49999999999995,0.7142857142856803,0.45454545454541323,0.7499999999999626,0.6451612903225599,0.476190476189932,0.47619047619047616
21,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.48095238095238096
22,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5714285714285714
23,0.09999999999999,0.9047619047618618,0.33333333333322224,0.6785714285714044,0.6451612903225599,0.15384615384577519,0.4714285714285714
24,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.45238095238095233
25,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.45714285714285713
26,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.44285714285714284
27,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.46190476190476193
28,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.48095238095238096
29,0.09999999999999,0.9047619047618618,0.33333333333322224,0.6785714285714044,0.6451612903225599,0.15384615384577519,0.480952380952381
30,0.49999999999995,0.666666666666635,0.41666666666663194,0.7368421052631192,0.6129032258064319,0.45454545454491735,0.46190476190476193
31,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5571428571428572
32,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5333333333333333
33,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.4476190476190476
34,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.5428571428571428
35,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.4714285714285714
36,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.47619047619047616
37,0.29999999999997,0.9047619047618618,0.59999999999988,0.7307692307692027,0.7096774193548159,0.39999999999950225,0.6190476190476191
38,0.09999999999999,0.809523809523771,0.19999999999996,0.6538461538461288,0.5806451612903039,0.13333333333287112,0.4714285714285714
39,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.4666666666666667
40,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.4285714285714286
41,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5428571428571429
42,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5142857142857143
43,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.4666666666666667
44,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.5142857142857142
45,0.39999999999996,0.5238095238094989,0.2857142857142653,0.6470588235293737,0.4838709677419199,0.33333333333281945,0.5380952380952381
46,0.49999999999995,0.7619047619047257,0.49999999999995,0.7619047619047257,0.6774193548386879,0.49999999999945,0.47619047619047616
47,0.09999999999999,0.9047619047618618,0.33333333333322224,0.6785714285714044,0.6451612903225599,0.15384615384577519,0.5523809523809524
48,0.09999999999999,0.9047619047618618,0.33333333333322224,0.6785714285714044,0.6451612903225599,0.15384615384577519,0.44761904761904764
49,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.519047619047619
50,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.47619047619047616
51,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5047619047619047
52,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5952380952380952
53,0.49999999999995,0.6190476190475896,0.38461538461535505,0.7222222222221821,0.5806451612903039,0.43478260869512286,0.4761904761904762
54,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.47142857142857153
55,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.4285714285714286
56,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.5380952380952381
57,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.4428571428571429
58,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5619047619047619
59,0.09999999999999,0.7619047619047257,0.16666666666663887,0.6399999999999745,0.5483870967741759,0.12499999999951565,0.4666666666666667
60,0.0,0.8571428571428164,0.0,0.6428571428571199,0.5806451612903039,0.0,0.480952380952381
61,0.0,0.9047619047618618,0.0,0.6551724137930809,0.6129032258064319,0.0,0.4523809523809524
62,0.39999999999996,0.7619047619047257,0.44444444444439507,0.7272727272726943,0.6451612903225599,0.42105263157840445,0.4571428571428572
63,0.49999999999995,0.47619047619045357,0.3124999999999805,0.6666666666666222,0.4838709677419199,0.3846153846148817,0.5
64,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.45238095238095244
65,0.09999999999999,0.809523809523771,0.19999999999996,0.6538461538461288,0.5806451612903039,0.13333333333287112,0.4714285714285714
66,0.39999999999996,0.5238095238094989,0.2857142857142653,0.6470588235293737,0.4838709677419199,0.33333333333281945,0.42857142857142855
67,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.419047619047619
68,0.39999999999996,0.5714285714285443,0.307692307692284,0.6666666666666297,0.5161290322580478,0.347826086956,0.46190476190476193
69,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.4714285714285714
70,0.09999999999999,0.8571428571428164,0.2499999999999375,0.666666666666642,0.6129032258064319,0.1428571428567143,0.5285714285714286
71,0.19999999999998,0.7142857142856803,0.24999999999996875,0.65217391304345,0.5483870967741759,0.22222222222170368,0.4714285714285715
72,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.41904761904761906
73,0.09999999999999,0.9999999999999525,0.9999999999989999,0.6999999999999768,0.7096774193548159,0.18181818181798345,0.5
74,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.46190476190476193
75,0.19999999999998,0.9523809523809071,0.6666666666664445,0.7142857142856888,0.7096774193548159,0.30769230769190536,0.48095238095238096
76,0.69999999999993,0.4285714285714082,0.3684210526315596,0.7499999999999375,0.5161290322580478,0.48275862068916997,0.5238095238095237
77,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.4714285714285714
78,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.5
79,0.09999999999999,0.809523809523771,0.19999999999996,0.6538461538461288,0.5806451612903039,0.13333333333287112,0.43333333333333335
80,0.29999999999997,0.809523809523771,0.4285714285713673,0.7083333333333038,0.6451612903225599,0.35294117647006223,0.480952380952381
81,0.39999999999996,0.666666666666635,0.36363636363633056,0.6999999999999651,0.5806451612903039,0.3809523809518458,0.4571428571428572
82,0.0,0.9047619047618618,0.0,0.6551724137930809,0.6129032258064319,0.0,0.4952380952380952
83,0.09999999999999,0.8571428571428164,0.2499999999999375,0.666666666666642,0.6129032258064319,0.1428571428567143,0.46190476190476193
84,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.5571428571428572
85,0.09999999999999,0.8571428571428164,0.2499999999999375,0.666666666666642,0.6129032258064319,0.1428571428567143,0.45238095238095244
86,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.5095238095238095
87,0.0,0.9523809523809071,0.0,0.6666666666666445,0.6451612903225599,0.0,0.4714285714285714
88,0.19999999999998,0.9047619047618618,0.499999999999875,0.7037037037036776,0.6774193548386879,0.2857142857138367,0.4904761904761905
89,0.19999999999998,0.9047619047618618,0.499999999999875,0.7037037037036776,0.6774193548386879,0.2857142857138367,0.5095238095238095
90,0.59999999999994,0.5238095238094989,0.37499999999997663,0.7333333333332844,0.5483870967741759,0.46153846153795275,0.43333333333333335
91,0.39999999999996,0.7619047619047257,0.44444444444439507,0.7272727272726943,0.6451612903225599,0.42105263157840445,0.49523809523809526
92,0.19999999999998,0.666666666666635,0.22222222222219754,0.6363636363636075,0.5161290322580478,0.21052631578895292,0.4666666666666667
93,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.48571428571428565
94,0.09999999999999,0.9523809523809071,0.49999999999975,0.6896551724137694,0.6774193548386879,0.16666666666636112,0.45714285714285713
95,0.59999999999994,0.4285714285714082,0.33333333333331483,0.692307692307639,0.4838709677419199,0.4285714285709388,0.5047619047619049
96,0.19999999999998,0.8571428571428164,0.39999999999992,0.6923076923076658,0.6451612903225599,0.26666666666618666,0.5904761904761905
97,0.0,0.9999999999999525,0.0,0.6774193548386879,0.6774193548386879,0.0,0.5380952380952381
98,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.44285714285714284
99,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.48095238095238096
