Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.20799999999997923,0.18731489179150085,0.018731489179150084,0.17083266164370817,0.2451673383562503
Specificity,0.8109523809523425,0.1505017300432347,0.015050173004323469,0.7810895725540254,0.8408151893506595
PPV,0.2556235318258823,0.19520008613517176,0.019520008613517176,0.21689159984134604,0.2943554638104186
NPV,0.6847657685616529,0.026193172688505448,0.0026193172688505446,0.6795684748354203,0.6899630622878856
Accuracy,0.616451612903206,0.05461591989615767,0.005461591989615767,0.6056146294951864,0.6272885963112257
F1,0.2140502604938715,0.1668434755482511,0.01668434755482511,0.18094489525072507,0.2471556257370179
AUC,0.48347619047619056,0.04253502483600739,0.0042535024836007395,0.4750363187449457,0.49191606220743544
