Group,AUC
0,0.45238095238095244
1,0.4571428571428572
2,0.43333333333333335
3,0.4571428571428572
4,0.5857142857142857
5,0.4714285714285715
6,0.4523809523809524
7,0.4714285714285714
8,0.4904761904761905
9,0.4761904761904762
10,0.4904761904761905
11,0.3666666666666667
12,0.5380952380952381
13,0.45238095238095244
14,0.4571428571428572
15,0.4714285714285714
16,0.48571428571428577
17,0.4761904761904761
18,0.46190476190476193
19,0.44761904761904764
20,0.47619047619047616
21,0.48095238095238096
22,0.5714285714285714
23,0.4714285714285714
24,0.45238095238095233
25,0.45714285714285713
26,0.44285714285714284
27,0.46190476190476193
28,0.48095238095238096
29,0.480952380952381
30,0.46190476190476193
31,0.5571428571428572
32,0.5333333333333333
33,0.4476190476190476
34,0.5428571428571428
35,0.4714285714285714
36,0.47619047619047616
37,0.6190476190476191
38,0.4714285714285714
39,0.4666666666666667
40,0.4285714285714286
41,0.5428571428571429
42,0.5142857142857143
43,0.4666666666666667
44,0.5142857142857142
45,0.5380952380952381
46,0.47619047619047616
47,0.5523809523809524
48,0.44761904761904764
49,0.519047619047619
50,0.47619047619047616
51,0.5047619047619047
52,0.5952380952380952
53,0.4761904761904762
54,0.47142857142857153
55,0.4285714285714286
56,0.5380952380952381
57,0.4428571428571429
58,0.5619047619047619
59,0.4666666666666667
60,0.480952380952381
61,0.4523809523809524
62,0.4571428571428572
63,0.5
64,0.45238095238095244
65,0.4714285714285714
66,0.42857142857142855
67,0.419047619047619
68,0.46190476190476193
69,0.4714285714285714
70,0.5285714285714286
71,0.4714285714285715
72,0.41904761904761906
73,0.5
74,0.46190476190476193
75,0.48095238095238096
76,0.5238095238095237
77,0.4714285714285714
78,0.5
79,0.43333333333333335
80,0.480952380952381
81,0.4571428571428572
82,0.4952380952380952
83,0.46190476190476193
84,0.5571428571428572
85,0.45238095238095244
86,0.5095238095238095
87,0.4714285714285714
88,0.4904761904761905
89,0.5095238095238095
90,0.43333333333333335
91,0.49523809523809526
92,0.4666666666666667
93,0.48571428571428565
94,0.45714285714285713
95,0.5047619047619049
96,0.5904761904761905
97,0.5380952380952381
98,0.44285714285714284
99,0.48095238095238096
