Metric,Mean,Std,CI95_Lower,CI95_Upper
Sensitivity,0.630303030302973,0.1703822556566468,0.5666812504460936,0.6939248101598523
Specificity,0.7333333333332983,0.12033783601494545,0.6883984468811278,0.7782682197854688
PPV,0.5664395326894802,0.12797580817340962,0.5186525805609516,0.6142264848180088
NPV,0.7965747025504641,0.06609614511269273,0.7718939963493308,0.8212554087515975
Accuracy,0.6979166666666666,0.07756624902949573,0.6689529532737459,0.7268803800595873
Balanced_Accuracy,0.6818181818181818,0.08265861750237845,0.6509529467868531,0.7126834168495104
F1,0.5822975274875265,0.12041825772593777,0.5373326110749429,0.6272624439001101
AUC,0.7627705627705627,0.07759297571911736,0.733796869467722,0.7917442560734033
