Metric,MultiView_Mean,Top250_Logistic_Mean,Logistic_Minus_MultiView,Wilcoxon_Statistic,P_Value
Accuracy,0.64375,0.6979166666666666,0.05416666666666667,89.5,0.04850890465803111
F1,0.5168305922422114,0.5943109146586517,0.07748032241644018,77.0,0.004115123481833648
AUC,0.6741702741702742,0.7744588744588745,0.10028860028860027,76.0,0.0012862492683701533
Sensitivity,0.5757575757575234,0.6606060606060006,0.08484848484847715,100.0,0.054570467525592074
Specificity,0.6793650793650471,0.7174603174602832,0.03809523809523629,137.0,0.7101488505604285
