Config,Top_K,Penalty,Class_Weight,C,Sensitivity_Mean,Sensitivity_Std,Sensitivity_CI95_Lower,Sensitivity_CI95_Upper,Specificity_Mean,Specificity_Std,Specificity_CI95_Lower,Specificity_CI95_Upper,PPV_Mean,PPV_Std,PPV_CI95_Lower,PPV_CI95_Upper,NPV_Mean,NPV_Std,NPV_CI95_Lower,NPV_CI95_Upper,Accuracy_Mean,Accuracy_Std,Accuracy_CI95_Lower,Accuracy_CI95_Upper,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,Balanced_Accuracy_CI95_Lower,Balanced_Accuracy_CI95_Upper,F1_Mean,F1_Std,F1_CI95_Lower,F1_CI95_Upper,AUC_Mean,AUC_Std,AUC_CI95_Lower,AUC_CI95_Upper,Joint_Mean
B_Top250_L2_balanced,250,l2,balanced,0.1,0.6606060606060006,0.1703822556566468,0.5969842807491212,0.7242278404628799,0.7174603174602832,0.13052001069991928,0.6687233444952004,0.7661972904253659,0.5664268737797651,0.10122948922914353,0.528627161280715,0.6042265862788152,0.8098060580455465,0.06670168385117962,0.7848992399634174,0.8347128761276756,0.6979166666666666,0.07027756954825057,0.6716745909209056,0.7241587424124276,0.689033189033189,0.07111765698297122,0.66247741948389,0.7155889585824879,0.5943109146586517,0.10252873508116649,0.5560260557852986,0.6325957735320048,0.7744588744588745,0.08581050719406724,0.7424167044742848,0.8065010444434643,0.5943109146586517
C_Top300_L2_none,300,l2,,0.1,0.6424242424241839,0.15459769232098855,0.5846965153828863,0.7001519694654816,0.7158730158729819,0.10498806260000274,0.6766698290117973,0.7550762027341665,0.5490477921630721,0.09104517905490529,0.5150509635817304,0.5830446207444138,0.797642341957516,0.06857705996303153,0.7720352469264918,0.8232494369885403,0.690625,0.07356292022995431,0.6631561541482885,0.7180938458517115,0.6791486291486293,0.07960742987501965,0.6494227263017568,0.7088745319955018,0.583794418340714,0.10175493051696012,0.5457985028402871,0.6217903338411409,0.7774891774891775,0.07769451437219463,0.7484775690301596,0.8065007859481953,0.583794418340714
A_Top200_L2_balanced,200,l2,balanced,0.1,0.6515151515150922,0.18961846670196453,0.5807104524059172,0.7223198506242672,0.7095238095237757,0.12835534965648704,0.6615951342763118,0.7574524847712396,0.5501691430057838,0.12151077526520843,0.5047962738395206,0.5955420121720469,0.8050668931632265,0.08247281630105467,0.7742710374406893,0.8358627488857638,0.6895833333333333,0.08285603252894011,0.6586443823195983,0.7205222843470683,0.6805194805194804,0.09024487408015103,0.64682149072699,0.7142174703119708,0.5832677095055333,0.12560335409247605,0.5363666462900022,0.6301687727210644,0.7645021645021646,0.08923819341812086,0.731180075446632,0.7978242535576971,0.5832677095055333
