Repeat,Sensitivity,Specificity,PPV,NPV,Accuracy,F1,AUC
0,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5047619047619047
1,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.5380952380952381
2,0.49999999999995,0.9523809523809071,0.8333333333331945,0.7999999999999681,0.8064516129031999,0.624999999999453,0.780952380952381
3,0.59999999999994,0.5714285714285443,0.3999999999999733,0.7499999999999533,0.5806451612903039,0.4799999999994815,0.6428571428571429
4,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.5142857142857142
5,0.59999999999994,0.47619047619045357,0.3529411764705675,0.7142857142856632,0.5161290322580478,0.44444444444394515,0.5428571428571428
6,0.39999999999996,0.7619047619047257,0.44444444444439507,0.7272727272726943,0.6451612903225599,0.42105263157840445,0.7142857142857143
7,0.29999999999997,0.5238095238094989,0.23076923076921302,0.6111111111110772,0.4516129032257919,0.2608695652168771,0.5714285714285714
8,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.5047619047619047
9,0.19999999999998,0.8571428571428164,0.39999999999992,0.6923076923076658,0.6451612903225599,0.26666666666618666,0.5238095238095238
10,0.59999999999994,0.47619047619045357,0.3529411764705675,0.7142857142856632,0.5161290322580478,0.44444444444394515,0.5333333333333333
11,0.59999999999994,0.666666666666635,0.46153846153842604,0.7777777777777346,0.6451612903225599,0.5217391304342457,0.5857142857142857
12,0.19999999999998,0.7142857142856803,0.24999999999996875,0.65217391304345,0.5483870967741759,0.22222222222170368,0.43333333333333335
13,0.29999999999997,0.5714285714285443,0.24999999999997916,0.6315789473683878,0.4838709677419199,0.27272727272675207,0.580952380952381
14,0.19999999999998,0.5714285714285443,0.18181818181816528,0.59999999999997,0.4516129032257919,0.1904761904756735,0.3952380952380953
15,0.19999999999998,0.9047619047618618,0.499999999999875,0.7037037037036776,0.6774193548386879,0.2857142857138367,0.5476190476190477
16,0.29999999999997,0.6190476190475896,0.27272727272724795,0.6499999999999676,0.5161290322580478,0.2857142857137597,0.5190476190476191
17,0.39999999999996,0.809523809523771,0.4999999999999375,0.7391304347825766,0.6774193548386879,0.4444444444439012,0.6428571428571429
18,0.29999999999997,0.5238095238094989,0.23076923076921302,0.6111111111110772,0.4516129032257919,0.2608695652168771,0.43333333333333335
19,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.48095238095238096
20,0.59999999999994,0.4285714285714082,0.33333333333331483,0.692307692307639,0.4838709677419199,0.4285714285709388,0.5476190476190477
21,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.6000000000000001
22,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.5333333333333333
23,0.29999999999997,0.809523809523771,0.4285714285713673,0.7083333333333038,0.6451612903225599,0.35294117647006223,0.5523809523809524
24,0.29999999999997,0.809523809523771,0.4285714285713673,0.7083333333333038,0.6451612903225599,0.35294117647006223,0.6333333333333334
25,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5380952380952381
26,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.49523809523809526
27,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5571428571428572
28,0.09999999999999,0.9047619047618618,0.33333333333322224,0.6785714285714044,0.6451612903225599,0.15384615384577519,0.6238095238095238
29,0.59999999999994,0.28571428571427215,0.28571428571427215,0.59999999999994,0.38709677419353594,0.3870967741930864,0.5142857142857143
30,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.4142857142857143
31,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5190476190476191
