VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
57,"186_Butane, 2-cyclopropyl-                                                                                                     ",0.46,0.49160412,0.14338738,0.014338737726211548
58,"194_D-Erythro-Tetrofuranose-3-ulose, 4-C-cyclopropyl-1,2-O-isopropylidene-, .alpha.-                                           ",0.48,0.5101338,0.16326925,0.01632692515850067
59,"203_1,3-Dioxolane, 2-ethyl-4-methyl-                                                                                           ",0.45,0.47663575,0.15740773,0.01574077308177948
60,214_Cyclopentanone                                                                                                             ,0.51,0.48361674,0.16295703,0.016295702755451204
61,"216_Propane, 1,3-dimethoxy-                                                                                                    ",0.52,0.5243808,0.16093457,0.016093456745147706
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",0.56,0.5103235,0.17862238,0.017862237989902496
63,223_4-Ethylbenzamide                                                                                                           ,0.4,0.46265095,0.1801708,0.018017080426216126
64,"224_2-Methoxy-1,3-dioxolane                                                                                                    ",0.49,0.48366344,0.1687254,0.01687254011631012
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.62,0.5451824,0.17931233,0.01793123334646225
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.58,0.51526225,0.1858296,0.018582959473133088
67,"228_Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-                                                               ",0.61,0.5490948,0.19181563,0.019181562960147856
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.57,0.52738184,0.1608004,0.016080039739608764
69,"232_Isovaleric acid, 3-methylbutyl-2 ester                                                                                     ",0.48,0.5034338,0.17555317,0.017555317282676695
70,"234_Hexane, 2,2,4-trimethyl-                                                                                                   ",0.54,0.531658,0.16103351,0.01610335111618042
71,235_3-Nonen-5-one                                                                                                              ,0.49,0.5008987,0.15796633,0.015796633064746858
72,236_Hexanal                                                                                                                    ,0.42,0.46909717,0.17835124,0.01783512383699417
73,"237_Ethanol, 2-propoxy-                                                                                                        ",0.49,0.51076895,0.16463861,0.016463860869407654
74,238_2-Methyl-4-methoxy-1-butanol                                                                                               ,0.44,0.48505935,0.15217875,0.015217874944210053
75,"239_1-Butene, 2,3,3-trimethyl-                                                                                                 ",0.51,0.500789,0.1754185,0.0175418496131897
76,240_Tetrachloroethylene                                                                                                        ,0.55,0.5158725,0.16079788,0.01607978790998459
77,249_Butanoic acid                                                                                                              ,0.38,0.47040153,0.16403364,0.016403363645076753
78,"256_Propanoic acid, propyl ester                                                                                               ",0.52,0.50558126,0.16029073,0.016029073297977446
79,"259_Heptane, 3,4,5-trimethyl-                                                                                                  ",0.53,0.520409,0.12887582,0.012887582182884216
80,"262_1,5-Dimethyl-6-oxa-bicyclo[3.1.0]hexane                                                                                    ",0.51,0.5015666,0.16504814,0.016504813730716706
