Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.3259999999999674,0.12997280212769868,0.012997280212769868,0.30021057627828107,0.3517894237216538
Specificity,0.6752380952380631,0.1436374392874133,0.014363743928741329,0.6467373110475246,0.7037388794286016
PPV,0.3339073198043374,0.1177246149115327,0.01177246149115327,0.3105482021526079,0.3572664374560669
NPV,0.6754483816300059,0.04470229320045905,0.004470229320045905,0.6665784768360397,0.6843182864239721
Accuracy,0.5625806451612723,0.08102809053834262,0.008102809053834262,0.5465029140818163,0.5786583762407282
F1,0.31702187264310383,0.09572813020204096,0.009572813020204097,0.2980273347747918,0.33601641051141584
AUC,0.5380952380952381,0.07373073732642187,0.0073730737326421865,0.523465460210206,0.5527250159802701
