Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.4009999999999599,0.16111668398580165,0.016111668398580165,0.3690309544464104,0.4329690455535094
Specificity,0.6190476190475896,0.14859412019457882,0.014859412019457882,0.5895633218291294,0.6485319162660499
PPV,0.3421500633625884,0.10791638879101695,0.010791638879101695,0.3207371105641147,0.3635630161610621
NPV,0.6850164182338073,0.04927691962295805,0.004927691962295805,0.675238808310407,0.6947940281572077
Accuracy,0.5487096774193373,0.07678886859316396,0.007678886859316396,0.5334730999443644,0.5639462548943102
F1,0.35389298378347034,0.0968442606681521,0.00968442606681521,0.33467698141606306,0.3731089861508776
AUC,0.529,0.07004134728572727,0.007004134728572727,0.5151022771409154,0.5428977228590847
