VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
74,238_2-Methyl-4-methoxy-1-butanol                                                                                               ,0.6,0.53828067,0.18185705
208,684_Decyl octyl ether                                                                                                          ,0.6,0.5299993,0.20813733
221,"717_1-Hexadecen-3-ol, 3,5,11,15-tetramethyl-                                                                                   ",0.6,0.5252121,0.17238104
37,"117_Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-                                                                               ",0.6,0.52005595,0.16067937
287,"1017_Naphthalene, 1-methyl-                                                                                                    ",0.59,0.5415026,0.15206465
373,1277_Octadecyl octyl ether                                                                                                     ,0.59,0.5413255,0.19689383
291,"1033_Cyclohexasiloxane, dodecamethyl-                                                                                          ",0.59,0.5347153,0.19526587
226,"741_Decane, 2,5-dimethyl-                                                                                                      ",0.59,0.53463686,0.15822141
55,"180_1-Penten-3-one, 2-methyl-                                                                                                  ",0.59,0.53152716,0.183628
2,6_Cyclopropyl methyl carbinol                                                                                                  ,0.59,0.52838063,0.1693024
271,"948_2,6,10-Trimethyltridecane                                                                                                  ",0.59,0.5255825,0.16406733
227,"743_Benzene, 1,3-dichloro-2-methyl-                                                                                            ",0.59,0.5158943,0.17370467
304,"1074_Benzene, 1-(1,1-dimethylethyl)-3-ethyl-                                                                                   ",0.59,0.5140451,0.17770906
355,"1217_Silane, trichlorooctadecyl-                                                                                               ",0.58,0.5487501,0.18724501
323,"1138_Bicyclo[4.4.0]dec-1-ene, 2-isopropyl-5-methyl-9-methylene-                                                                ",0.58,0.5460616,0.1907564
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",0.58,0.5413388,0.18322016
349,"1200_Benzene, 1-(1,5-dimethylhexyl)-4-methyl-                                                                                  ",0.58,0.5383511,0.18454377
370,1258_Butylated Hydroxytoluene                                                                                                  ,0.58,0.53554285,0.17824656
255,"846_Ethanol, 1-(2-butoxyethoxy)-                                                                                               ",0.58,0.5354561,0.17461717
367,"1250_Octacosane, 1-iodo-                                                                                                       ",0.58,0.53478384,0.16646647
206,"681_7-Octen-2-ol, 2,6-dimethyl-                                                                                                ",0.58,0.5340349,0.15641601
282,"1002_3-Picoline, 5-(tert-butylthio)-                                                                                           ",0.58,0.5331442,0.18981282
201,668_Phenylglyoxal                                                                                                              ,0.58,0.53074014,0.17402622
75,"239_1-Butene, 2,3,3-trimethyl-                                                                                                 ",0.58,0.52851266,0.17783146
205,"677_Decane, 3-methyl-                                                                                                          ",0.58,0.5273012,0.18853152
413,"1465_1-Penten-3-one, 2-methyl-1-(2,2,6-trimethylcyclohexen-1-yl)-                                                              ",0.58,0.52591115,0.18154493
312,"1100_Ethanone, 1-[4-(1-methylethenyl)phenyl]-                                                                                  ",0.58,0.5256682,0.18164538
432,"1638_Tetrapentacontane, 1,54-dibromo-                                                                                          ",0.58,0.52429044,0.175204
316,1111_Butyl benzoate                                                                                                            ,0.58,0.5237689,0.18895298
219,711_2-Nonanone                                                                                                                 ,0.58,0.52335376,0.17360541
300,"1064_(-)-1,2,2.alpha.,3,3,4,6,7,8,8.alpha.-decahydro-2.alpha.,7,8-trimethylacenaphthylene                                      ",0.58,0.5210774,0.18348645
417,"1488_Octadecane, 1-iodo-                                                                                                       ",0.58,0.52077246,0.18188867
34,"104_Ethane, 1,1-diethoxy-                                                                                                      ",0.58,0.5164077,0.16525896
165,565_Propanenitrile                                                                                                             ,0.58,0.513689,0.1714601
368,1252_n-Pentadecanol                                                                                                            ,0.58,0.5112969,0.17959054
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.57,0.5470905,0.16579816
173,"588_Propanenitrile, 2,2'-azobis[2-methyl-                                                                                      ",0.57,0.5404623,0.17079736
418,1499_Heneicosane                                                                                                               ,0.57,0.53801507,0.1813477
189,"629_Benzaldehyde, 2-hydroxy-                                                                                                   ",0.57,0.52904296,0.17635974
331,"1163_10,10-Dimethyl-4-acetyl-tricyclo[5.2.1.0(1,5)]decane                                                                      ",0.57,0.528719,0.16624294
153,523_Benzonitrile                                                                                                               ,0.57,0.52756006,0.19167767
97,"335_2-Ethylthiolane, S,S-dioxide                                                                                               ",0.57,0.5268154,0.17657621
119,"392_1-Butyl(dimethyl)silyloxy-2,2-dimethylpropane                                                                              ",0.57,0.5266845,0.20071805
157,528_Phenol                                                                                                                     ,0.57,0.5237193,0.17378528
328,"1157_2,4,8-Trimethyl-1,2,3,4-tetrahydroquinoline                                                                               ",0.57,0.5218494,0.15364744
94,"325_2,6-Octadiene-4,5-diol                                                                                                     ",0.57,0.5216199,0.16265565
224,"728_2-Cyclohexen-1-one, 3,6-dimethyl-6-(1-methylethyl)-                                                                        ",0.57,0.5199564,0.17940965
388,1329_2-Methoxycarbonyl-2-methylbrendane                                                                                        ,0.57,0.518429,0.18833777
270,947_Geraniol                                                                                                                   ,0.57,0.51477385,0.1728606
80,"262_1,5-Dimethyl-6-oxa-bicyclo[3.1.0]hexane                                                                                    ",0.57,0.510144,0.16991794
421,"1507_1,3-Cyclopentadiene, 5,5-dimethyl-1,2-Dipropyl-                                                                           ",0.57,0.50890994,0.18479413
293,"1042_Ethanone, 1-[4-(1-methylethyl)phenyl]-                                                                                    ",0.57,0.5084378,0.18640001
289,"1022_2-Cyclohexen-1-one, 4-butyl-3-methoxy-                                                                                    ",0.56,0.53920084,0.1963479
61,"216_Propane, 1,3-dimethoxy-                                                                                                    ",0.56,0.53610635,0.19721109
155,525_1-Octen-3-ol                                                                                                               ,0.56,0.53567976,0.17272395
352,"1206_5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-                                                                                ",0.56,0.53442365,0.17561497
95,"329_Succinic acid, but-3-yn-2-yl tetrahydrofurfuryl ester                                                                      ",0.56,0.53281885,0.18269584
25,"76_Ethane, methoxy-                                                                                                            ",0.56,0.5293571,0.19425012
167,569_Octanal                                                                                                                    ,0.56,0.52912843,0.17398566
84,"273_1-Butyne, 3-chloro-                                                                                                        ",0.56,0.52861536,0.18064809
396,1361_Tetradecanal                                                                                                              ,0.56,0.5285093,0.17423958
228,749_Isophorone                                                                                                                 ,0.56,0.5262828,0.19447295
256,"848_Benzenemethanol, .alpha.-methyl-, acetate                                                                                  ",0.56,0.5240333,0.17709388
412,"1464_2,6,11,15-Tetramethyl-hexadeca-2,6,8,10,14-pentaene                                                                       ",0.56,0.52366644,0.16468705
261,889_Dodecyl nonyl ether                                                                                                        ,0.56,0.52306044,0.18121281
422,1509_Hexatriacontyl pentafluoropropionate                                                                                      ,0.56,0.5224884,0.17532568
397,1368_Benzophenone                                                                                                              ,0.56,0.52088916,0.1920347
