Group,AUC
0,0.46190476190476193
1,0.5190476190476191
2,0.49523809523809526
3,0.46190476190476193
4,0.5047619047619047
5,0.4476190476190476
6,0.4714285714285714
7,0.46190476190476193
8,0.46190476190476193
9,0.5047619047619047
10,0.6000000000000001
11,0.5523809523809524
12,0.4333333333333333
13,0.7238095238095238
14,0.5142857142857143
15,0.5904761904761905
16,0.5619047619047619
17,0.5476190476190477
18,0.4285714285714286
19,0.4666666666666667
20,0.6714285714285715
21,0.580952380952381
22,0.5666666666666667
23,0.44761904761904764
24,0.5714285714285714
25,0.5
26,0.6380952380952382
27,0.5952380952380952
28,0.5857142857142857
29,0.49523809523809526
30,0.580952380952381
31,0.5238095238095237
32,0.5047619047619047
33,0.6
34,0.519047619047619
35,0.5285714285714286
36,0.4761904761904763
37,0.45714285714285713
38,0.5714285714285714
39,0.6190476190476191
40,0.5809523809523809
41,0.6047619047619048
42,0.5380952380952381
43,0.5523809523809524
44,0.5285714285714286
45,0.5809523809523809
46,0.3952380952380952
47,0.5285714285714286
48,0.48571428571428577
49,0.5952380952380953
50,0.5571428571428572
51,0.5666666666666667
52,0.4809523809523809
53,0.5047619047619047
54,0.37142857142857144
55,0.4428571428571429
56,0.44285714285714284
57,0.4952380952380952
58,0.5761904761904763
59,0.580952380952381
60,0.6666666666666666
61,0.5428571428571428
62,0.5095238095238096
63,0.5047619047619047
64,0.42380952380952386
65,0.6095238095238096
66,0.6761904761904762
67,0.5523809523809524
68,0.6428571428571428
69,0.4952380952380952
70,0.5904761904761906
71,0.5095238095238095
72,0.6476190476190476
73,0.49047619047619045
74,0.6571428571428571
75,0.580952380952381
76,0.3904761904761905
77,0.4285714285714286
78,0.5238095238095238
79,0.4809523809523809
80,0.46190476190476193
81,0.5428571428571428
82,0.5714285714285714
83,0.5571428571428572
84,0.5428571428571428
85,0.5714285714285714
86,0.5523809523809524
87,0.4666666666666667
88,0.49523809523809526
89,0.42380952380952386
90,0.5380952380952382
91,0.49523809523809526
92,0.5095238095238095
93,0.5428571428571429
94,0.5476190476190477
95,0.380952380952381
96,0.5476190476190477
97,0.6238095238095238
98,0.4190476190476191
99,0.5333333333333334
