outer_fold,selected_candidate_id,selected_model_family,selected_threshold,score_type,default_threshold,n_train,n_test,train_neg,train_pos,test_neg,test_pos,n_before_voc_filter,n_after_voc_filter,n_after_selector,fit_warnings,tuned_f1,tuned_mcc,tuned_balanced_accuracy,tuned_roc_auc,tuned_pr_auc,default_f1,default_mcc,default_balanced_accuracy
0,elastic_net__C=0.1__l1=0.5__cw=none,elastic_net,0.398322246537,probability,0.5,127,32,84,43,22,10,988,445,,0,0.5454545454545454,0.3133397807202561,0.6636363636363636,0.7772727272727272,0.6673430735930737,0.5333333333333333,0.4526019054848144,0.6772727272727272
1,elastic_net__C=0.1__l1=0.5__cw=balanced,elastic_net,0.341477259212,probability,0.5,127,32,85,42,21,11,988,445,,0,0.5806451612903226,0.28880007514798783,0.6471861471861472,0.7532467532467533,0.6453419104947118,0.6086956521739131,0.39072951343551293,0.699134199134199
