Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.1629999999999837,0.16246522549439377,0.016246522549439375,0.13076337455431805,0.19523662544564938
Specificity,0.8366666666666268,0.13875049794602642,0.013875049794602643,0.8091355576611492,0.8641977756721044
PPV,0.23483907977981622,0.20064406032218163,0.020064406032218162,0.19502694520873587,0.27465121435089657
NPV,0.6780322225408164,0.026644499997935254,0.0026644499997935255,0.6727453756847788,0.683319069396854
Accuracy,0.6193548387096576,0.057449404711298696,0.00574494047112987,0.6079556304414334,0.6307540469778817
F1,0.17817268675395317,0.15446435054209548,0.015446435054209548,0.14752360847901264,0.2088217650288937
AUC,0.4646190476190477,0.04761546403062206,0.004761546403062205,0.4551711065306965,0.47406698870739894
