VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
57,"186_Butane, 2-cyclopropyl-                                                                                                     ",0.38,0.45142487,0.17900087,0.01790008693933487
58,"194_D-Erythro-Tetrofuranose-3-ulose, 4-C-cyclopropyl-1,2-O-isopropylidene-, .alpha.-                                           ",0.32,0.46829304,0.162522,0.016252200305461883
59,"203_1,3-Dioxolane, 2-ethyl-4-methyl-                                                                                           ",0.39,0.4646691,0.17458123,0.017458122968673707
60,214_Cyclopentanone                                                                                                             ,0.44,0.47530043,0.1720735,0.017207349836826324
61,"216_Propane, 1,3-dimethoxy-                                                                                                    ",0.48,0.51423573,0.19538467,0.01953846663236618
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",0.46,0.48470446,0.18963559,0.018963558971881865
63,223_4-Ethylbenzamide                                                                                                           ,0.36,0.4520501,0.18388389,0.01838838905096054
64,"224_2-Methoxy-1,3-dioxolane                                                                                                    ",0.37,0.460157,0.16971938,0.01697193831205368
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.34,0.44154128,0.16421433,0.01642143279314041
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.28,0.4174038,0.16251707,0.01625170707702637
67,"228_Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-                                                               ",0.51,0.50663245,0.16620849,0.016620849072933198
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.33,0.4256693,0.1780441,0.01780440956354141
69,"232_Isovaleric acid, 3-methylbutyl-2 ester                                                                                     ",0.5,0.5094984,0.16862942,0.01686294227838516
70,"234_Hexane, 2,2,4-trimethyl-                                                                                                   ",0.55,0.522298,0.18086612,0.018086612224578857
71,235_3-Nonen-5-one                                                                                                              ,0.3,0.4234626,0.179983,0.01799830049276352
72,236_Hexanal                                                                                                                    ,0.51,0.484169,0.15731086,0.01573108583688736
