Metric,Mean,Std,SEM,CI95_Lower,CI95_Upper
Sensitivity,0.3409999999999659,0.12479882801831257,0.012479882801831257,0.31623720499173064,0.36576279500820114
Specificity,0.6685714285713967,0.1305277561774951,0.01305277561774951,0.6426718899264189,0.6944709672163746
PPV,0.3392728056256998,0.10400342692593623,0.010400342692593623,0.31863626935355605,0.3599093418978435
NPV,0.6793978316904963,0.03931534427666269,0.003931534427666269,0.6715968144336809,0.6871988489473116
Accuracy,0.5629032258064336,0.06943984575740174,0.006943984575740174,0.5491248539002351,0.576681597712632
F1,0.3263746219711992,0.08439975802722527,0.008439975802722526,0.30962787891311405,0.34312136502928436
AUC,0.5324761904761904,0.05753584601828884,0.0057535846018288836,0.5210598303773022,0.5438925505750787
