outer_fold,selected_candidate_id,selected_model_family,selected_threshold,score_type,default_threshold,n_train,n_test,train_neg,train_pos,test_neg,test_pos,n_before_voc_filter,n_after_voc_filter,n_after_selector,fit_warnings,tuned_f1,tuned_mcc,tuned_balanced_accuracy,tuned_roc_auc,tuned_pr_auc,default_f1,default_mcc,default_balanced_accuracy
0,elastic_net__C=0.1__l1=0.5__cw=none,elastic_net,0.398322246537,probability,0.5,127,32,84,43,22,10,988,445,,0,0.5454545454545454,0.3133397807202561,0.6636363636363636,0.7772727272727272,0.6673430735930737,0.5333333333333333,0.4526019054848144,0.6772727272727272
1,rbf_svm__C=10.0__gamma=scale__cw=none__k=20,rbf_svm,-0.253032009722,decision,0.0,127,32,85,42,21,11,988,445,20.0,0,0.6666666666666666,0.47306844125299624,0.7445887445887446,0.8311688311688311,0.8550986050986051,0.7272727272727273,0.5844155844155844,0.7922077922077921
2,rbf_svm__C=10.0__gamma=scale__cw=balanced__k=20,rbf_svm,-0.436090111713,decision,0.0,127,32,85,42,21,11,988,445,20.0,0,0.6428571428571429,0.4161455870818984,0.7186147186147187,0.8095238095238095,0.7694597069597069,0.6,0.4252964776724258,0.7012987012987013
3,lda__shrinkage=auto__k=50,lda,0.40134859204,probability,0.5,127,32,85,42,21,11,988,445,50.0,0,0.6153846153846154,0.374943053707453,0.696969696969697,0.7402597402597403,0.629846623964271,0.5,0.20513587275572404,0.606060606060606
4,lda__shrinkage=0.5__k=all,lda,0.337930620863,probability,0.5,128,31,85,43,21,10,988,445,,0,0.25,0.011268723396380222,0.5047619047619047,0.5047619047619047,0.45939571447930583,0.26666666666666666,0.07262730392025629,0.5285714285714286
